#Date    runtime Run    Biked
08/13/19 14.1833 1.0000	0.0000
08/14/19 13.0000 1.0000 0.0000
08/15/19 12.6666 1.0000 0.0000
08/16/19 12.3000 1.0000 3.0000
08/19/19 12.0000 1.0000 4.0000
08/21/19 11.5000 1.0000 6.5200
09/08/19 12.1166 1.0000 7.5000
